0061 	0041 	LATIN SMALL LETTER A 	LATIN CAPITAL LETTER A
00F1 	00D1 	LATIN SMALL LETTER N TILDE 	LATIN CAPITAL LETTER N TILDE
00F2 	00D2 	LATIN SMALL LETTER O GRAVE 	LATIN CAPITAL LETTER O GRAVE
00F3 	00D3 	LATIN SMALL LETTER O ACUTE 	LATIN CAPITAL LETTER O ACUTE
00F4 	00D4 	LATIN SMALL LETTER O CIRCUMFLEX 	LATIN CAPITAL LETTER O CIRCUMFLEX
00F5 	00D5 	LATIN SMALL LETTER O TILDE 	LATIN CAPITAL LETTER O TILDE
00F6 	00D6 	LATIN SMALL LETTER O DIAERESIS 	LATIN CAPITAL LETTER O DIAERESIS
00F8 	00D8 	LATIN SMALL LETTER O SLASH 	LATIN CAPITAL LETTER O SLASH
00F9 	00D9 	LATIN SMALL LETTER U GRAVE 	LATIN CAPITAL LETTER U GRAVE
00FA 	00DA 	LATIN SMALL LETTER U ACUTE 	LATIN CAPITAL LETTER U ACUTE
00FB 	00DB 	LATIN SMALL LETTER U CIRCUMFLEX 	LATIN CAPITAL LETTER U CIRCUMFLEX
00FC 	00DC 	LATIN SMALL LETTER U DIAERESIS 	LATIN CAPITAL LETTER U DIAERESIS
00FD 	00DD 	LATIN SMALL LETTER Y ACUTE 	LATIN CAPITAL LETTER Y ACUTE
00FE 	00DE 	LATIN SMALL LETTER THORN 	LATIN CAPITAL LETTER THORN
00FF 	0178 	LATIN SMALL LETTER Y DIAERESIS 	LATIN CAPITAL LETTER Y WITH DIAERESIS
0101 	0100 	LATIN SMALL LETTER A WITH MACRON 	LATIN CAPITAL LETTER A WITH MACRON
0103 	0102 	LATIN SMALL LETTER A WITH BREVE 	LATIN CAPITAL LETTER A WITH BREVE
0105 	0104 	LATIN SMALL LETTER A WITH OGONEK 	LATIN CAPITAL LETTER A WITH OGONEK
0107 	0106 	LATIN SMALL LETTER C WITH ACUTE 	LATIN CAPITAL LETTER C WITH ACUTE
0109 	0108 	LATIN SMALL LETTER C WITH CIRCUMFLEX 	LATIN CAPITAL LETTER C WITH CIRCUMFLEX
010B 	010A 	LATIN SMALL LETTER C WITH DOT ABOVE 	LATIN CAPITAL LETTER C WITH DOT ABOVE
010D 	010C 	LATIN SMALL LETTER C WITH CARON 	LATIN CAPITAL LETTER C WITH CARON
010F 	010E 	LATIN SMALL LETTER D WITH CARON 	LATIN CAPITAL LETTER D WITH CARON
0111 	0110 	LATIN SMALL LETTER D WITH STROKE 	LATIN CAPITAL LETTER D WITH STROKE
0113 	0112 	LATIN SMALL LETTER E WITH MACRON 	LATIN CAPITAL LETTER E WITH MACRON
0115 	0114 	LATIN SMALL LETTER E WITH BREVE 	LATIN CAPITAL LETTER E WITH BREVE
0117 	0116 	LATIN SMALL LETTER E WITH DOT ABOVE 	LATIN CAPITAL LETTER E WITH DOT ABOVE
0119 	0118 	LATIN SMALL LETTER E WITH OGONEK 	LATIN CAPITAL LETTER E WITH OGONEK
011B 	011A 	LATIN SMALL LETTER E WITH CARON 	LATIN CAPITAL LETTER E WITH CARON
011D 	011C 	LATIN SMALL LETTER G WITH CIRCUMFLEX 	LATIN CAPITAL LETTER G WITH CIRCUMFLEX
011F 	011E 	LATIN SMALL LETTER G WITH BREVE 	LATIN CAPITAL LETTER G WITH BREVE
0121 	0120 	LATIN SMALL LETTER G WITH DOT ABOVE 	LATIN CAPITAL LETTER G WITH DOT ABOVE
0123 	0122 	LATIN SMALL LETTER G WITH CEDILLA 	LATIN CAPITAL LETTER G WITH CEDILLA
0125 	0124 	LATIN SMALL LETTER H WITH CIRCUMFLEX 	LATIN CAPITAL LETTER H WITH CIRCUMFLEX
0127 	0126 	LATIN SMALL LETTER H WITH STROKE 	LATIN CAPITAL LETTER H WITH STROKE
0129 	0128 	LATIN SMALL LETTER I WITH TILDE 	LATIN CAPITAL LETTER I WITH TILDE
012B 	012A 	LATIN SMALL LETTER I WITH MACRON 	LATIN CAPITAL LETTER I WITH MACRON
012D 	012C 	LATIN SMALL LETTER I WITH BREVE 	LATIN CAPITAL LETTER I WITH BREVE
012F 	012E 	LATIN SMALL LETTER I WITH OGONEK 	LATIN CAPITAL LETTER I WITH OGONEK
0131 	0049 	LATIN SMALL LETTER DOTLESS I 	LATIN CAPITAL LETTER I
0133 	0132 	LATIN SMALL LIGATURE IJ 	LATIN CAPITAL LIGATURE IJ
0135 	0134 	LATIN SMALL LETTER J WITH CIRCUMFLEX 	LATIN CAPITAL LETTER J WITH CIRCUMFLEX
0137 	0136 	LATIN SMALL LETTER K WITH CEDILLA 	LATIN CAPITAL LETTER K WITH CEDILLA
013A 	0139 	LATIN SMALL LETTER L WITH ACUTE 	LATIN CAPITAL LETTER L WITH ACUTE
013C 	013B 	LATIN SMALL LETTER L WITH CEDILLA 	LATIN CAPITAL LETTER L WITH CEDILLA
013E 	013D 	LATIN SMALL LETTER L WITH CARON 	LATIN CAPITAL LETTER L WITH CARON
0140 	013F 	LATIN SMALL LETTER L WITH MIDDLE DOT 	LATIN CAPITAL LETTER L WITH MIDDLE DOT
0142 	0141 	LATIN SMALL LETTER L WITH STROKE 	LATIN CAPITAL LETTER L WITH STROKE
0144 	0143 	LATIN SMALL LETTER N WITH ACUTE 	LATIN CAPITAL LETTER N WITH ACUTE
0146 	0145 	LATIN SMALL LETTER N WITH CEDILLA 	LATIN CAPITAL LETTER N WITH CEDILLA
0148 	0147 	LATIN SMALL LETTER N WITH CARON 	LATIN CAPITAL LETTER N WITH CARON
014B 	014A 	LATIN SMALL LETTER ENG (SAMI) 	LATIN CAPITAL LETTER ENG (SAMI)
014D 	014C 	LATIN SMALL LETTER O WITH MACRON 	LATIN CAPITAL LETTER O WITH MACRON
014F 	014E 	LATIN SMALL LETTER O WITH BREVE 	LATIN CAPITAL LETTER O WITH BREVE
0151 	0150 	LATIN SMALL LETTER O WITH DOUBLE ACUTE 	LATIN CAPITAL LETTER O WITH DOUBLE ACUTE
0153 	0152 	LATIN SMALL LIGATURE OE 	LATIN CAPITAL LIGATURE OE
0155 	0154 	LATIN SMALL LETTER R WITH ACUTE 	LATIN CAPITAL LETTER R WITH ACUTE
0157 	0156 	LATIN SMALL LETTER R WITH CEDILLA 	LATIN CAPITAL LETTER R WITH CEDILLA
0159 	0158 	LATIN SMALL LETTER R WITH CARON 	LATIN CAPITAL LETTER R WITH CARON
015B 	015A 	LATIN SMALL LETTER S WITH ACUTE 	LATIN CAPITAL LETTER S WITH ACUTE
015D 	015C 	LATIN SMALL LETTER S WITH CIRCUMFLEX 	LATIN CAPITAL LETTER S WITH CIRCUMFLEX
015F 	015E 	LATIN SMALL LETTER S WITH CEDILLA 	LATIN CAPITAL LETTER S WITH CEDILLA
0161 	0160 	LATIN SMALL LETTER S WITH CARON 	LATIN CAPITAL LETTER S WITH CARON
0163 	0162 	LATIN SMALL LETTER T WITH CEDILLA 	LATIN CAPITAL LETTER T WITH CEDILLA
0165 	0164 	LATIN SMALL LETTER T WITH CARON 	LATIN CAPITAL LETTER T WITH CARON
0167 	0166 	LATIN SMALL LETTER T WITH STROKE 	LATIN CAPITAL LETTER T WITH STROKE
0169 	0168 	LATIN SMALL LETTER U WITH TILDE 	LATIN CAPITAL LETTER U WITH TILDE
016B 	016A 	LATIN SMALL LETTER U WITH MACRON 	LATIN CAPITAL LETTER U WITH MACRON
016D 	016C 	LATIN SMALL LETTER U WITH BREVE 	LATIN CAPITAL LETTER U WITH BREVE
016F 	016E 	LATIN SMALL LETTER U WITH RING ABOVE 	LATIN CAPITAL LETTER U WITH RING ABOVE
0171 	0170 	LATIN SMALL LETTER U WITH DOUBLE ACUTE 	LATIN CAPITAL LETTER U WITH DOUBLE ACUTE
0173 	0172 	LATIN SMALL LETTER U WITH OGONEK 	LATIN CAPITAL LETTER U WITH OGONEK
0175 	0174 	LATIN SMALL LETTER W WITH CIRCUMFLEX 	LATIN CAPITAL LETTER W WITH CIRCUMFLEX
0177 	0176 	LATIN SMALL LETTER Y WITH CIRCUMFLEX 	LATIN CAPITAL LETTER Y WITH CIRCUMFLEX
017A 	0179 	LATIN SMALL LETTER Z WITH ACUTE 	LATIN CAPITAL LETTER Z WITH ACUTE
017C 	017B 	LATIN SMALL LETTER Z WITH DOT ABOVE 	LATIN CAPITAL LETTER Z WITH DOT ABOVE
017E 	017D 	LATIN SMALL LETTER Z WITH CARON 	LATIN CAPITAL LETTER Z WITH CARON
0183 	0182 	LATIN SMALL LETTER B WITH TOPBAR 	LATIN CAPITAL LETTER B WITH TOPBAR
0185 	0184 	LATIN SMALL LETTER TONE SIX 	LATIN CAPITAL LETTER TONE SIX
0188 	0187 	LATIN SMALL LETTER C WITH HOOK 	LATIN CAPITAL LETTER C WITH HOOK
018C 	018B 	LATIN SMALL LETTER D WITH TOPBAR 	LATIN CAPITAL LETTER D WITH TOPBAR
0192 	0191 	LATIN SMALL LETTER F WITH HOOK 	LATIN CAPITAL LETTER F WITH HOOK
0199 	0198 	LATIN SMALL LETTER K WITH HOOK 	LATIN CAPITAL LETTER K WITH HOOK
01A1 	01A0 	LATIN SMALL LETTER O WITH HORN 	LATIN CAPITAL LETTER O WITH HORN
01A3 	01A2 	LATIN SMALL LETTER OI 	LATIN CAPITAL LETTER OI
01A5 	01A4 	LATIN SMALL LETTER P WITH HOOK 	LATIN CAPITAL LETTER P WITH HOOK
01A8 	01A7 	LATIN SMALL LETTER TONE TWO 	LATIN CAPITAL LETTER TONE TWO
01AD 	01AC 	LATIN SMALL LETTER T WITH HOOK 	LATIN CAPITAL LETTER T WITH HOOK
01B0 	01AF 	LATIN SMALL LETTER U WITH HORN 	LATIN CAPITAL LETTER U WITH HORN
01B4 	01B3 	LATIN SMALL LETTER Y WITH HOOK 	LATIN CAPITAL LETTER Y WITH HOOK
01B6 	01B5 	LATIN SMALL LETTER Z WITH STROKE 	LATIN CAPITAL LETTER Z WITH STROKE
01B9 	01B8 	LATIN SMALL LETTER EZH REVERSED 	LATIN CAPITAL LETTER EZH REVERSED
01BD 	01BC 	LATIN SMALL LETTER TONE FIVE 	LATIN CAPITAL LETTER TONE FIVE
01C6 	01C4 	LATIN SMALL LETTER DZ WITH CARON 	LATIN CAPITAL LETTER DZ WITH CARON
01C9 	01C7 	LATIN SMALL LETTER LJ 	LATIN CAPITAL LETTER LJ
01CC 	01CA 	LATIN SMALL LETTER NJ 	LATIN CAPITAL LETTER NJ
01CE 	01CD 	LATIN SMALL LETTER A WITH CARON 	LATIN CAPITAL LETTER A WITH CARON
01D0 	01CF 	LATIN SMALL LETTER I WITH CARON 	LATIN CAPITAL LETTER I WITH CARON
01D2 	01D1 	LATIN SMALL LETTER O WITH CARON 	LATIN CAPITAL LETTER O WITH CARON
01D4 	01D3 	LATIN SMALL LETTER U WITH CARON 	LATIN CAPITAL LETTER U WITH CARON
01D6 	01D5 	LATIN SMALL LETTER U WITH DIAERESIS AND MACRON 	LATIN CAPITAL LETTER U WITH DIAERESIS AND MACRON
01D8 	01D7 	LATIN SMALL LETTER U WITH DIAERESIS AND ACUTE 	LATIN CAPITAL LETTER U WITH DIAERESIS AND ACUTE
01DA 	01D9 	LATIN SMALL LETTER U WITH DIAERESIS AND CARON 	LATIN CAPITAL LETTER U WITH DIAERESIS AND CARON
01DC 	01DB 	LATIN SMALL LETTER U WITH DIAERESIS AND GRAVE 	LATIN CAPITAL LETTER U WITH DIAERESIS AND GRAVE
01DF 	01DE 	LATIN SMALL LETTER A WITH DIAERESIS AND MACRON 	LATIN CAPITAL LETTER A WITH DIAERESIS AND MACRON
01E1 	01E0 	LATIN SMALL LETTER A WITH DOT ABOVE AND MACRON 	LATIN CAPITAL LETTER A WITH DOT ABOVE AND MACRON
01E3 	01E2 	LATIN SMALL LIGATURE AE WITH MACRON 	LATIN CAPITAL LIGATURE AE MTH MACRON
01E5 	01E4 	LATIN SMALL LETTER G WITH STROKE 	LATIN CAPITAL LETTER G WITH STROKE
01E7 	01E6 	LATIN SMALL LETTER G WITH CARON 	LATIN CAPITAL LETTER G WITH CARON
01E9 	01E8 	LATIN SMALL LETTER K WITH CARON 	LATIN CAPITAL LETTER K WITH CARON
01EB 	01EA 	LATIN SMALL LETTER O WITH OGONEK 	LATIN CAPITAL LETTER O WITH OGONEK
01ED 	01EC 	LATIN SMALL LETTER O WITH OGONEK AND MACRON 	LATIN CAPITAL LETTER O WITH OGONEK AND MACRON
01EF 	01EE 	LATIN SMALL LETTER EZH WITH CARON 	LATIN CAPITAL LETTER EZH WITH CARON
01F3 	01F1 	LATIN SMALL LETTER DZ 	LATIN CAPITAL LETTER DZ
01F5 	01F4 	LATIN SMALL LETTER G WITH ACUTE 	LATIN CAPITAL LETTER G WITH ACUTE
01FB 	01FA 	LATIN SMALL LETTER A WITH RING ABOVE AND ACUTE 	LATIN CAPITAL LETTER A WITH RING ABOVE AND ACUTE
01FD 	01FC 	LATIN SMALL LIGATURE AE WITH ACUTE 	LATIN CAPITAL LIGATURE AE WITH ACUTE
01FF 	01FE 	LATIN SMALL LETTER O WITH STROKE AND ACUTE 	LATIN CAPITAL LETTER O WITH STROKE AND ACUTE
0201 	0200 	LATIN SMALL LETTER A WITH DOUBLE GRAVE 	LATIN CAPITAL LETTER A WITH DOUBLE GRAVE
0203 	0202 	LATIN SMALL LETTER A WITH INVERTED BREVE 	LATIN CAPITAL LETTER A WITH INVERTED BREVE
0205 	0204 	LATIN SMALL LETTER E WITH DOUBLE GRAVE 	LATIN CAPITAL LETTER E WITH DOUBLE GRAVE
0207 	0206 	LATIN SMALL LETTER E WITH INVERTED BREVE 	LATIN CAPITAL LETTER E WITH INVERTED BREVE
0209 	0208 	LATIN SMALL LETTER I WITH DOUBLE GRAVE 	LATIN CAPITAL LETTER I WITH DOUBLE GRAVE
020B 	020A 	LATIN SMALL LETTER I WITH INVERTED BREVE 	LATIN CAPITAL LETTER I WITH INVERTED BREVE
020D 	020C 	LATIN SMALL LETTER O WITH DOUBLE GRAVE 	LATIN CAPITAL LETTER O WITH DOUBLE GRAVE
020F 	020E 	LATIN SMALL LETTER O WITH INVERTED BREVE 	LATIN CAPITAL LETTER O WITH INVERTED BREVE
0211 	0210 	LATIN SMALL LETTER R WITH DOUBLE GRAVE 	LATIN CAPITAL LETTER R WITH DOUBLE GRAVE
0213 	0212 	LATIN SMALL LETTER R WITH INVERTED BREVE 	LATIN CAPITAL LETTER R WITH INVERTED BREVE
0215 	0214 	LATIN SMALL LETTER U WITH DOUBLE GRAVE 	LATIN CAPITAL LETTER U WITH DOUBLE GRAVE
0217 	0216 	LATIN SMALL LETTER U WITH INVERTED BREVE 	LATIN CAPITAL LETTER U WITH INVERTED BREVE
0253 	0181 	LATIN SMALL LETTER B WITH HOOK 	LATIN CAPITAL LETTER B WITH HOOK
0254 	0186 	LATIN SMALL LETTER OPEN O 	LATIN CAPITAL LETTER OPEN O
0257 	018A 	LATIN SMALL LETTER D WITH HOOK 	LATIN CAPITAL LETTER D WITH HOOK
0258 	018E 	LATIN SMALL LETTER REVERSED E 	LATIN CAPITAL LETTER REVERSED E
0259 	018F 	LATIN SMALL LETTER SCHWA 	LATIN CAPITAL LETTER SCHWA
025B 	0190 	LATIN SMALL LETTER OPEN E 	LATIN CAPITAL LETTER OPEN E
0260 	0193 	LATIN SMALL LETTER G WITH HOOK 	LATIN CAPITAL LETTER G WITH HOOK
0263 	0194 	LATIN SMALL LETTER GAMMA 	LATIN CAPITAL LETTER GAMMA
0268 	0197 	LATIN SMALL LETTER I WITH STROKE 	LATIN CAPITAL LETTER I WITH STROKE
0269 	0196 	LATIN SMALL LETTER IOTA 	LATIN CAPITAL LETTER IOTA
026F 	019C 	LATIN SMALL LETTER TURNED M 	LATIN CAPITAL LETTER TURNED M
0272 	019D 	LATIN SMALL LETTER N WITH LEFT HOOK 	LATIN CAPITAL LETTER N WITH LEFT HOOK
0275 	019F 	LATIN SMALL LETTER BARRED O 	LATIN CAPITAL LETTER O WITH MIDDLE TILDE
0283 	01A9 	LATIN SMALL LETTER ESH 	LATIN CAPITAL LETTER ESH
0288 	01AE 	LATIN SMALL LETTER T WITH RETROFLEX HOOK 	LATIN CAPITAL LETTER T WITH RETROFLEX HOOK
028A 	01B1 	LATIN SMALL LETTER UPSILON 	LATIN CAPITAL LETTER UPSILON
028B 	01B2 	LATIN SMALL LETTER V WITH HOOK 	LATIN CAPITAL LETTER V WITH HOOK
0292 	01B7 	LATIN SMALL LETTER EZH 	LATIN CAPITAL LETTER EZH
03AC 	0386 	GREEK SMALL LETTER ALPHA WITH TONOS 	GREEK CAPITAL LETTER ALPHA WITH TONOS
03AD 	0388 	GREEK SMALL LETTER EPSILON WITH TONOS 	GREEK CAPITAL LETTER EPSILON WITH TONOS
03AE 	0389 	GREEK SMALL LETTER ETA WITH TONOS 	GREEK CAPITAL LETTER ETA WITH TONOS
03AF 	038A 	GREEK SMALL LETTER IOTA WITH TONOS 	GREEK CAPITAL LETTER IOTA WITH TONOS
03B1 	0391 	GREEK SMALL LETTER ALPHA 	GREEK CAPITAL LETTER ALPHA
03B2 	0392 	GREEK SMALL LETTER BETA 	GREEK CAPITAL LETTER BETA
03B3 	0393 	GREEK SMALL LETTER GAMMA 	GREEK CAPITAL LETTER GAMMA
03B4 	0394 	GREEK SMALL LETTER DELTA 	GREEK CAPITAL LETTER DELTA
03B5 	0395 	GREEK SMALL LETTER EPSILON 	GREEK CAPITAL LETTER EPSILON
03B6 	0396 	GREEK SMALL LETTER ZETA 	GREEK CAPITAL LETTER ZETA
03B7 	0397 	GREEK SMALL LETTER ETA 	GREEK CAPITAL LETTER ETA
03B8 	0398 	GREEK SMALL LETTER THETA 	GREEK CAPITAL LETTER THETA
03B9 	0399 	GREEK SMALL LETTER IOTA 	GREEK CAPITAL LETTER IOTA
03BA 	039A 	GREEK SMALL LETTER KAPPA 	GREEK CAPITAL LETTER KAPPA
03BB 	039B 	GREEK SMALL LETTER LAMDA 	GREEK CAPITAL LETTER LAMDA
03BC 	039C 	GREEK SMALL LETTER MU 	GREEK CAPITAL LETTER MU
03BD 	039D 	GREEK SMALL LETTER NU 	GREEK CAPITAL LETTER NU
03BE 	039E 	GREEK SMALL LETTER XI 	GREEK CAPITAL LETTER XI
03BF 	039F 	GREEK SMALL LETTER OMICRON 	GREEK CAPITAL LETTER OMICRON
03C0 	03A0 	GREEK SMALL LETTER PI 	GREEK CAPITAL LETTER PI
03C1 	03A1 	GREEK SMALL LETTER RHO 	GREEK CAPITAL LETTER RHO
03C3 	03A3 	GREEK SMALL LETTER SIGMA 	GREEK CAPITAL LETTER SIGMA
03C4 	03A4 	GREEK SMALL LETTER TAU 	GREEK CAPITAL LETTER TAU
03C5 	03A5 	GREEK SMALL LETTER UPSILON 	GREEK CAPITAL LETTER UPSILON
03C6 	03A6 	GREEK SMALL LETTER PHI 	GREEK CAPITAL LETTER PHI
03C7 	03A7 	GREEK SMALL LETTER CHI 	GREEK CAPITAL LETTER CHI
03C8 	03A8 	GREEK SMALL LETTER PSI 	GREEK CAPITAL LETTER PSI
03C9 	03A9 	GREEK SMALL LETTER OMEGA 	GREEK CAPITAL LETTER OMEGA
03CA 	03AA 	GREEK SMALL LETTER IOTA WITH DIALYTIKA 	GREEK CAPITAL LETTER IOTA WITH DIALYTIKA
03CB 	03AB 	GREEK SMALL LETTER UPSILON WITH DIALYTIKA 	GREEK CAPITAL LETTER UPSILON WITH DIALYTIKA
03CC 	038C 	GREEK SMALL LETTER OMICRON WITH TONOS 	GREEK CAPITAL LETTER OMICRON WITH TONOS
03CD 	038E 	GREEK SMALL LETTER UPSILON WITH TONOS 	GREEK CAPITAL LETTER UPSILON WITH TONOS
03CE 	038F 	GREEK SMALL LETTER OMEGA WITH TONOS 	GREEK CAPITAL LETTER OMEGA WITH TONOS
03E3 	03E2 	COPTIC SMALL LETTER SHEI 	COPTIC CAPITAL LETTER SHEI
03E5 	03E4 	COPTIC SMALL LETTER FEI 	COPTIC CAPITAL LETTER FEI
03E7 	03E6 	COPTIC SMALL LETTER KHEI 	COPTIC CAPITAL LETTER KHEI
03E9 	03E8 	COPTIC SMALL LETTER HORI 	COPTIC CAPITAL LETTER HORI
03EB 	03EA 	COPTIC SMALL LETTER GANGIA 	COPTIC CAPITAL LETTER GANGIA
03ED 	03EC 	COPTIC SMALL LETTER SHIMA 	COPTIC CAPITAL LETTER SHIMA
03EF 	03EE 	COPTIC SMALL LETTER DEI 	COPTIC CAPITAL LETTER DEI
0430 	0410 	CYRILLIC SMALL LETTER A 	CYRILLIC CAPITAL LETTER A
0431 	0411 	CYRILLIC SMALL LETTER BE 	CYRILLIC CAPITAL LETTER BE
0432 	0412 	CYRILLIC SMALL LETTER VE 	CYRILLIC CAPITAL LETTER VE
0433 	0413 	CYRILLIC SMALL LETTER GHE 	CYRILLIC CAPITAL LETTER GHE
0434 	0414 	CYRILLIC SMALL LETTER DE 	CYRILLIC CAPITAL LETTER DE
0435 	0415 	CYRILLIC SMALL LETTER IE 	CYRILLIC CAPITAL LETTER IE
0436 	0416 	CYRILLIC SMALL LETTER ZHE 	CYRILLIC CAPITAL LETTER ZHE
0437 	0417 	CYRILLIC SMALL LETTER ZE 	CYRILLIC CAPITAL LETTER ZE
0438 	0418 	CYRILLIC SMALL LETTER I 	CYRILLIC CAPITAL LETTER I
0439 	0419 	CYRILLIC SMALL LETTER SHORT I 	CYRILLIC CAPITAL LETTER SHORT I
043A 	041A 	CYRILLIC SMALL LETTER KA 	CYRILLIC CAPITAL LETTER KA
043B 	041B 	CYRILLIC SMALL LETTER EL 	CYRILLIC CAPITAL LETTER EL
043C 	041C 	CYRILLIC SMALL LETTER EM 	CYRILLIC CAPITAL LETTER EM
043D 	041D 	CYRILLIC SMALL LETTER EN 	CYRILLIC CAPITAL LETTER EN
043E 	041E 	CYRILLIC SMALL LETTER O 	CYRILLIC CAPITAL LETTER O
043F 	041F 	CYRILLIC SMALL LETTER PE 	CYRILLIC CAPITAL LETTER PE
0440 	0420 	CYRILLIC SMALL LETTER ER 	CYRILLIC CAPITAL LETTER ER
0441 	0421 	CYRILLIC SMALL LETTER ES 	CYRILLIC CAPITAL LETTER ES
0442 	0422 	CYRILLIC SMALL LETTER TE 	CYRILLIC CAPITAL LETTER TE
0443 	0423 	CYRILLIC SMALL LETTER U 	CYRILLIC CAPITAL LETTER U
0444 	0424 	CYRILLIC SMALL LETTER EF 	CYRILLIC CAPITAL LETTER EF
0445 	0425 	CYRILLIC SMALL LETTER HA 	CYRILLIC CAPITAL LETTER HA
0446 	0426 	CYRILLIC SMALL LETTER TSE 	CYRILLIC CAPITAL LETTER TSE
0447 	0427 	CYRILLIC SMALL LETTER CHE 	CYRILLIC CAPITAL LETTER CHE
0448 	0428 	CYRILLIC SMALL LETTER SHA 	CYRILLIC CAPITAL LETTER SHA
0449 	0429 	CYRILLIC SMALL LETTER SHCHA 	CYRILLIC CAPITAL LETTER SHCHA
044A 	042A 	CYRILLIC SMALL LETTER HARD SIGN 	CYRILLIC CAPITAL LETTER HARD SIGN
044B 	042B 	CYRILLIC SMALL LETTER YERU 	CYRILLIC CAPITAL LETTER YERU
044C 	042C 	CYRILLIC SMALL LETTER SOFT SIGN 	CYRILLIC CAPITAL LETTER SOFT SIGN
044D 	042D 	CYRILLIC SMALL LETTER E 	CYRILLIC CAPITAL LETTER E
044E 	042E 	CYRILLIC SMALL LETTER YU 	CYRILLIC CAPITAL LETTER YU
044F 	042F 	CYRILLIC SMALL LETTER YA 	CYRILLIC CAPITAL LETTER YA
0451 	0401 	CYRILLIC SMALL LETTER IO 	CYRILLIC CAPITAL LETTER IO
0452 	0402 	CYRILLIC SMALL LETTER DJE (SERBOCROATIAN) 	CYRILLIC CAPITAL LETTER DJE (SERBOCROATIAN)
0453 	0403 	CYRILLIC SMALL LETTER GJE 	CYRILLIC CAPITAL LETTER GJE
